zip,zip_count,zip_lat,zip_long
94018,1,37.50603,-122.473
94010,44,37.57306,-122.378
94402,7,37.54035,-122.334
,,,
94087,2,37.35164,-122.037
94122,1,37.76113,-122.484
94112,3,37.7206,-122.443
94019,1,37.44826,-122.402
94301,3,37.44424,-122.15
94080,1,37.65541,-122.421
94404,7,37.5562,-122.269
94401,3,37.57445,-122.319
94403,11,37.53844,-122.305
94107,2,37.76473,-122.395
94062,6,37.42562,-122.297
94129,2,37.79743,-122.467
94040,2,37.38034,-122.085
94110,4,37.74975,-122.415
94025,4,37.45087,-122.183
94127,1,37.73642,-122.46
94002,3,37.51366,-122.299
94022,3,37.35534,-122.145
94027,2,37.45399,-122.203
94066,2,37.62539,-122.432
94610,1,37.81229,-122.24
94704,1,37.8664,-122.261
94044,1,37.60544,-122.48
94303,2,37.45064,-122.119
94131,2,37.74569,-122.442
94030,2,37.59969,-122.403
94306,2,37.41627,-122.131
94602,1,37.80517,-122.204
94117,1,37.77002,-122.444
94546,1,37.73441,-122.091
94070,4,37.49739,-122.27
94611,1,37.83191,-122.216
94024,2,37.35037,-122.099
94063,1,37.49367,-122.208
94102,1,37.77956,-122.419
94608,1,37.83611,-122.286
