Role,Gender,Birth Month,Age,Zip,Pets,Commute,Departure Time,Birth Country,lat,long,Birth Country-Other,Birth State,Longest State,Immigration,Languages,Day Night,Continents,Top Media,Social Media,People,Sleep Hours,Welcoming Level,Favorite Day,Fruit,Condiment
Nueva Teacher,Female,June,77,94018,0,Car,6:50:00 AM,United States,37.09024,-95.712891,,Pennsylvania,California,,English,1,"Asia, North America, Europe, Australia","TV/movies, Music, Books",Facebook / Meta,2,8.5,5,Saturday,Apple,Ketchup
Parent or Guardian of Nueva student,Male,November,43,94010,0,Car,8:00:00 AM,China,35.86166,104.195397,,,California,I am a first-generation immigrant (I was born outside the US),"English, Mandarin Chinese",5,"Asia, North America, South America, Europe","Online videos, Social media, Music",WeChat,4,7,5,Saturday,Strawberry,Plain - fries are already perfect!
Parent or Guardian of Nueva student,Female,September,52,94402,2,Car,7:45:00 AM,United States,37.09024,-95.712891,,California,California,I am a second-generation immigrant (one or both of my parents were born outside the US),"English, Spanish",1,"North America, Europe","TV/movies, Newspapers/magazines articles (paper or online), Books",Instagram,4,7,4,Friday,Mango,Plain - fries are already perfect!
Parent or Guardian of Nueva student,Male,June,54,,1,Car,7:40:00 AM,China,35.86166,104.195397,,,California,I am a first-generation immigrant (I was born outside the US),"English, Mandarin Chinese",1,"Asia, North America, Europe","Social media, Newspapers/magazines articles (paper or online), Podcasts",YouTube,4,7.5,5,No favorite day,Peach,Ketchup
Parent or Guardian of Nueva student,Male,March,49,94087,0,Car,,China,35.86166,104.195397,,,California,I am a first-generation immigrant (I was born outside the US),"English, Mandarin Chinese",8,"Asia, North America, Europe, Australia / Oceania","Online videos, Social media, Podcasts",WeChat,3,6,5,Friday,Watermelon,Plain - fries are already perfect!
Nueva Teacher,Female,March,36,94122,0,Car,7:00:00 AM,Spain,40.463667,-3.74922,,,California,I am a first-generation immigrant (I was born outside the US),Spanish,10,"Asia, North America, Europe","TV/movies, Social media, Books",Instagram,1,7,5,Saturday,Banana,Ketchup
Parent or Guardian of Nueva student,Female,March,52,,1,none,7:30:00 AM,United States,37.09024,-95.712891,,Rhode Island,California,I am a second-generation immigrant (one or both of my parents were born outside the US),English,3,"Asia, North America, Europe","Online videos, Social media, Books",Facebook / Meta,4,7,4,Saturday,Banana,Just salt
Parent or Guardian of Nueva student,Male,September,51,94112,6,Car,7:15:00 AM,China,35.86166,104.195397,,,,I am a third-generation immigrant (one or more of my grandparents were born outside the US),"Mandarin Chinese, Cantonese Chinese",3,"Asia, North America","Newspapers/magazines articles (paper or online), Music, Books",YouTube,5,6,4,Sunday,Apple,Just salt
Parent or Guardian of Nueva student,Male,November,44,94010,0,Car,7:50:00 AM,China,35.86166,104.195397,,,Washington,I am a first-generation immigrant (I was born outside the US),"English, Mandarin Chinese",5,"Asia, North America","TV/movies, Social media, Newspapers/magazines articles (paper or online)",WeChat,3,6.5,5,Friday,Grapes,Just salt
Parent or Guardian of Nueva student,Female,September,46,94010,0,Car,7:50:00 AM,Australia,-25.274398,133.775136,,,California,I am a first-generation immigrant (I was born outside the US),English,3,"Asia, Africa, North America, South America, Europe, Australia / Oceania","Newspapers/magazines articles (paper or online), Visual art, Books",Instagram,4,6,,Friday,Mango,Ketchup
Nueva Teacher,Male,March,37,94019,1,Car,7:00:00 AM,United States,37.09024,-95.712891,,Massachusetts,Massachusetts,My family has been in the US longer than three generations,English,2,"Asia, Africa, North America, South America, Europe","Online videos, Newspapers/magazines articles (paper or online), Podcasts",YouTube,3,8,4,Thursday,Mango,Mayonnaise
Parent or Guardian of Nueva student,Female,July,50,94301,1,Car,7:00:00 AM,Israel,31.046051,34.851612,,,California,I am a first-generation immigrant (I was born outside the US),"English, Hebrew",5,"Asia, North America, South America, Europe","TV/movies, Newspapers/magazines articles (paper or online), Podcasts",Whatsapp,4,7,5,Tuesday,Mango,Ketchup
Nueva alumni,Male,July,,,2,Bike,,Australia,-25.274398,133.775136,,,California,I am a first-generation immigrant (I was born outside the US),English,4,"Asia, North America, South America, Europe, Australia / Oceania",Online videos,Whatsapp,2,6,3,Wednesday,Guava,Ranch
Nueva Teacher,Female,January,39,94080,0,Car,7:45:00 AM,United States,37.09024,-95.712891,,Pennsylvania,Pennsylvania,My family has been in the US longer than three generations,English,7,"Africa, North America, South America, Europe","TV/movies, Podcasts, Books",I do not use social media,4,8,4,Friday,Mango,Ketchup
Parent or Guardian of Nueva student,Male,September,47,94404,0,Car,7:35:00 AM,China,35.86166,104.195397,,,California,I am a first-generation immigrant (I was born outside the US),"English, Mandarin Chinese",5,"Asia, North America, Europe","Online videos, Video games, Social media",X/Twitter,3,8,4,Friday,Watermelon,Ketchup
Nueva Teacher,Female,September,25,94404,0,Car,7:30:00 AM,United States,37.09024,-95.712891,,Connecticut,Connecticut,My family has been in the US longer than three generations,English,3,North America,"Podcasts, Music, Books",Instagram,4,8.5,5,Saturday,Watermelon,Just salt
Parent or Guardian of Nueva student,Male,April,55,94010,2,Car,7:50:00 AM,United States,37.09024,-95.712891,,California,California,I am a second-generation immigrant (one or both of my parents were born outside the US),English,6,"Asia, North America, Europe",Newspapers/magazines articles (paper or online),X/Twitter,4,7,5,Saturday,Apricot,Ketchup
