Entity,Year,Life expectancy,lat,long
Australia,1802,34.049999,-25.274398,133.775136
Australia,1803,34.049999,-25.274398,133.775136
Australia,1804,34.049999,-25.274398,133.775136
Australia,1805,34.049999,-25.274398,133.775136
Australia,1806,34.049999,-25.274398,133.775136
Australia,1807,34.049999,-25.274398,133.775136
Australia,1808,34.049999,-25.274398,133.775136
Australia,1809,34.049999,-25.274398,133.775136
Australia,1810,34.049999,-25.274398,133.775136
Australia,1811,34.049999,-25.274398,133.775136
Australia,1812,34.049999,-25.274398,133.775136
Australia,1813,34.049999,-25.274398,133.775136
Australia,1814,34.049999,-25.274398,133.775136
Australia,1815,34.049999,-25.274398,133.775136
Australia,1816,34.049999,-25.274398,133.775136
Australia,1817,34.049999,-25.274398,133.775136
Australia,1818,34.049999,-25.274398,133.775136
Australia,1819,34.049999,-25.274398,133.775136
Australia,1820,34.049999,-25.274398,133.775136
Australia,1821,34.049999,-25.274398,133.775136
Australia,1822,34.049999,-25.274398,133.775136
Australia,1823,34.049999,-25.274398,133.775136
Australia,1824,34.049999,-25.274398,133.775136
Australia,1825,34.049999,-25.274398,133.775136
Australia,1826,34.049999,-25.274398,133.775136
Australia,1827,34.049999,-25.274398,133.775136
Australia,1828,34.049999,-25.274398,133.775136
Australia,1829,34.049999,-25.274398,133.775136
Australia,1830,34.049999,-25.274398,133.775136
Australia,1831,34.049999,-25.274398,133.775136
Australia,1832,34.049999,-25.274398,133.775136
Australia,1833,34.049999,-25.274398,133.775136
Australia,1834,34.049999,-25.274398,133.775136
Australia,1835,34.049999,-25.274398,133.775136
Australia,1836,34.049999,-25.274398,133.775136
Australia,1837,34.049999,-25.274398,133.775136
Australia,1838,34.049999,-25.274398,133.775136
Australia,1839,34.049999,-25.274398,133.775136
Australia,1840,34.049999,-25.274398,133.775136
Australia,1841,34.049999,-25.274398,133.775136
Australia,1842,34.049999,-25.274398,133.775136
Australia,1843,34.049999,-25.274398,133.775136
Australia,1844,34.049999,-25.274398,133.775136
Australia,1845,34.049999,-25.274398,133.775136
Australia,1846,34.049999,-25.274398,133.775136
Australia,1847,34.049999,-25.274398,133.775136
Australia,1848,34.049999,-25.274398,133.775136
Australia,1849,34.049999,-25.274398,133.775136
Australia,1850,34.049999,-25.274398,133.775136
Australia,1851,34.049999,-25.274398,133.775136
Australia,1852,34.049999,-25.274398,133.775136
Australia,1853,34.049999,-25.274398,133.775136
Australia,1854,34.049999,-25.274398,133.775136
Australia,1855,34.049999,-25.274398,133.775136
Australia,1856,34.049999,-25.274398,133.775136
Australia,1857,34.049999,-25.274398,133.775136
Australia,1858,34.049999,-25.274398,133.775136
Australia,1859,34.049999,-25.274398,133.775136
Australia,1860,34.049999,-25.274398,133.775136
Australia,1861,34.049999,-25.274398,133.775136
Australia,1862,34.049999,-25.274398,133.775136
Australia,1863,34.049999,-25.274398,133.775136
Australia,1864,34.049999,-25.274398,133.775136
Australia,1865,34.049999,-25.274398,133.775136
Australia,1866,34.049999,-25.274398,133.775136
Australia,1867,34.049999,-25.274398,133.775136
Australia,1868,34.049999,-25.274398,133.775136
